transaction_id,transaction_ts,store_id,product_id,customer_id,quantity,unit_price,discount_pct,discount_amount,net_amount,payment_method,channel,currency
TXN0000001,2024-01-25 18:54:00,STR001,PRD0059,CUS00219,1,458.19,0.0,0.0,458.19,gift_card,mobile_app,USD
TXN0000002,2024-05-15 11:36:00,STR016,PRD0103,CUS00060,3,58.52,0.0,0.0,175.56,cash,online,USD
TXN0000003,2024-06-13 18:25:00,STR008,PRD0060,CUS00386,5,399.84,0.2,399.84,1599.36,mobile_pay,in_store,USD
TXN0000004,2024-05-21 12:00:00,STR016,PRD0084,CUS00105,4,127.62,0.0,0.0,510.48,mobile_pay,online,USD
TXN0000005,2024-06-01 19:55:00,STR023,PRD0056,CUS00479,1,26.02,0.0,0.0,26.02,cash,in_store,USD
TXN0000006,2024-12-27 15:26:00,STR020,PRD0100,CUS00197,5,576.59,0.0,0.0,2882.95,debit_card,in_store,USD
TXN0000007,2024-06-24 14:55:00,STR004,PRD0100,CUS00153,4,576.59,0.0,0.0,2306.36,credit_card,in_store,USD
TXN0000008,2024-01-17 10:17:00,STR005,PRD0109,CUS00245,5,459.8,0.0,0.0,2299.0,gift_card,online,USD
TXN0000009,2024-04-08 11:50:00,STR020,PRD0087,CUS00428,3,488.55,0.0,0.0,1465.65,mobile_pay,online,USD
TXN0000010,2024-09-01 16:03:00,STR017,PRD0078,CUS00183,3,678.93,0.05,101.84,1934.95,mobile_pay,online,USD
TXN0000011,2024-04-30 14:31:00,STR018,PRD0106,,2,558.66,0.05,55.87,1061.45,mobile_pay,mobile_app,USD
TXN0000012,2024-04-21 16:07:00,STR020,PRD0044,CUS00193,3,126.49,0.1,37.95,341.52,debit_card,online,USD
TXN0000013,2024-07-12 08:23:00,STR023,PRD0060,CUS00459,5,399.84,0.0,0.0,1999.2,mobile_pay,online,USD
TXN0000014,2024-04-25 10:15:00,STR001,PRD0047,CUS00305,1,487.35,0.0,0.0,487.35,gift_card,mobile_app,USD
TXN0000015,2024-04-22 15:00:00,STR010,PRD0054,CUS00140,3,694.62,0.0,0.0,2083.86,credit_card,mobile_app,USD
TXN0000016,2024-10-20 16:52:00,STR011,PRD0063,CUS00493,4,23.14,0.2,18.51,74.05,mobile_pay,online,USD
TXN0000017,2024-09-20 16:46:00,STR011,PRD0109,CUS00434,3,459.8,0.15,206.91,1172.49,credit_card,in_store,USD
TXN0000018,2024-08-25 15:57:00,STR016,PRD0061,CUS00209,4,169.37,0.0,0.0,677.48,gift_card,in_store,USD
TXN0000019,2024-04-15 21:44:00,STR015,PRD0118,CUS00173,1,317.96,0.0,0.0,317.96,credit_card,in_store,USD
TXN0000020,2024-12-17 14:52:00,STR023,PRD0036,CUS00430,1,405.13,0.05,20.26,384.87,cash,in_store,USD
TXN0000021,2024-05-30 17:05:00,STR006,PRD0117,CUS00279,2,54.14,0.05,5.41,102.87,cash,mobile_app,USD
TXN0000022,2024-03-28 08:03:00,STR009,PRD0032,,5,251.17,0.05,62.79,1193.06,gift_card,in_store,USD
TXN0000023,2024-10-05 17:39:00,STR018,PRD0044,CUS00004,1,126.49,0.0,0.0,126.49,gift_card,mobile_app,USD
TXN0000024,2024-10-19 20:14:00,STR003,PRD0089,CUS00311,2,690.46,0.0,0.0,1380.92,debit_card,mobile_app,USD
TXN0000025,2024-04-05 17:31:00,STR001,PRD0054,CUS00380,1,694.62,0.0,0.0,694.62,cash,mobile_app,USD
TXN0000026,2024-09-02 13:51:00,STR013,PRD0108,CUS00174,4,99.37,0.0,0.0,397.48,mobile_pay,mobile_app,USD
TXN0000027,2024-06-12 13:06:00,STR007,PRD0108,CUS00275,2,99.37,0.0,0.0,198.74,gift_card,mobile_app,USD
TXN0000028,2024-01-31 14:43:00,STR010,PRD0023,CUS00404,4,249.34,0.0,0.0,997.36,cash,mobile_app,USD
TXN0000029,2024-07-13 09:07:00,STR014,PRD0077,CUS00094,2,898.98,0.0,0.0,1797.96,gift_card,mobile_app,USD
TXN0000030,2024-08-05 14:54:00,STR006,PRD0084,CUS00249,4,127.62,0.0,0.0,510.48,debit_card,in_store,USD
TXN0000031,2024-05-08 10:33:00,STR001,PRD0012,CUS00151,2,233.86,0.0,0.0,467.72,cash,mobile_app,USD
TXN0000032,2024-05-05 20:57:00,STR023,PRD0076,CUS00377,5,33.66,0.0,0.0,168.3,cash,online,USD
TXN0000033,2024-05-21 11:33:00,STR008,PRD0117,,2,54.14,0.1,10.83,97.45,gift_card,mobile_app,USD
TXN0000034,2024-03-19 16:37:00,STR016,PRD0037,CUS00012,3,47.85,0.0,0.0,143.55,debit_card,mobile_app,USD
TXN0000035,2024-04-27 12:52:00,STR001,PRD0029,CUS00142,2,354.91,0.0,0.0,709.82,credit_card,online,USD
TXN0000036,2024-08-19 14:51:00,STR011,PRD0030,CUS00476,4,80.67,0.05,16.13,306.55,gift_card,online,USD
TXN0000037,2024-10-24 11:47:00,STR011,PRD0081,CUS00093,2,429.07,0.1,85.81,772.33,credit_card,online,USD
TXN0000038,2024-04-26 21:46:00,STR012,PRD0039,CUS00468,1,415.77,0.0,0.0,415.77,cash,in_store,USD
TXN0000039,2024-12-16 12:02:00,STR002,PRD0005,CUS00123,5,259.57,0.0,0.0,1297.85,cash,in_store,USD
TXN0000040,2024-10-15 12:02:00,STR002,PRD0118,CUS00427,3,317.96,0.0,0.0,953.88,credit_card,online,USD
TXN0000041,2024-01-23 14:12:00,STR023,PRD0046,CUS00151,4,719.52,0.0,0.0,2878.08,cash,online,USD
TXN0000042,2024-04-15 09:24:00,STR020,PRD0028,CUS00081,3,621.82,0.0,0.0,1865.46,credit_card,in_store,USD
TXN0000043,2024-06-27 13:25:00,STR013,PRD0061,CUS00390,2,169.37,0.0,0.0,338.74,cash,mobile_app,USD
TXN0000044,2024-08-06 11:54:00,STR012,PRD0063,,2,23.14,0.0,0.0,46.28,gift_card,mobile_app,USD
TXN0000045,2024-03-31 21:28:00,STR002,PRD0040,CUS00247,2,823.32,0.0,0.0,1646.64,cash,mobile_app,USD
TXN0000046,2024-02-24 12:08:00,STR001,PRD0086,CUS00461,1,139.31,0.0,0.0,139.31,credit_card,in_store,USD
TXN0000047,2024-02-26 09:42:00,STR015,PRD0112,CUS00238,1,268.87,0.0,0.0,268.87,debit_card,in_store,USD
TXN0000048,2024-08-03 14:00:00,STR007,PRD0069,CUS00427,2,527.04,0.05,52.7,1001.38,cash,online,USD
TXN0000049,2024-12-29 19:17:00,STR006,PRD0055,CUS00125,1,264.5,0.05,13.23,251.27,gift_card,online,USD
TXN0000050,2024-08-08 09:21:00,STR017,PRD0055,CUS00407,5,264.5,0.2,264.5,1058.0,credit_card,in_store,USD
TXN0000051,2024-04-18 11:30:00,STR010,PRD0065,CUS00318,4,286.09,0.0,0.0,1144.36,debit_card,mobile_app,USD
TXN0000052,2024-01-11 13:01:00,STR017,PRD0009,CUS00083,5,675.27,0.0,0.0,3376.35,mobile_pay,mobile_app,USD
TXN0000053,2024-10-28 12:07:00,STR021,PRD0101,CUS00074,4,437.08,0.0,0.0,1748.32,cash,in_store,USD
TXN0000054,2024-02-22 08:10:00,STR019,PRD0015,CUS00254,4,541.61,0.0,0.0,2166.44,credit_card,mobile_app,USD
TXN0000055,2024-07-20 21:34:00,STR014,PRD0031,,1,77.68,0.0,0.0,77.68,debit_card,in_store,USD
TXN0000056,2024-05-31 15:09:00,STR015,PRD0069,CUS00091,5,527.04,0.1,263.52,2371.68,debit_card,mobile_app,USD
TXN0000057,2024-08-05 12:39:00,STR023,PRD0006,CUS00419,3,101.59,0.0,0.0,304.77,credit_card,in_store,USD
TXN0000058,2024-11-05 20:50:00,STR006,PRD0006,CUS00310,3,101.59,0.0,0.0,304.77,mobile_pay,in_store,USD
TXN0000059,2024-05-24 15:43:00,STR018,PRD0066,CUS00284,3,404.74,0.0,0.0,1214.22,debit_card,mobile_app,USD
TXN0000060,2024-12-03 15:56:00,STR001,PRD0087,CUS00017,5,488.55,0.0,0.0,2442.75,mobile_pay,online,USD
TXN0000061,2024-05-28 18:53:00,STR016,PRD0062,CUS00198,3,355.41,0.0,0.0,1066.23,credit_card,mobile_app,USD
TXN0000062,2024-04-06 10:40:00,STR005,PRD0056,CUS00461,1,26.02,0.15,3.9,22.12,gift_card,mobile_app,USD
TXN0000063,2024-03-18 20:44:00,STR015,PRD0110,CUS00440,2,406.78,0.0,0.0,813.56,mobile_pay,online,USD
TXN0000064,2024-08-26 18:32:00,STR019,PRD0049,CUS00475,3,327.25,0.0,0.0,981.75,cash,online,USD
TXN0000065,2024-11-25 20:47:00,STR012,PRD0012,CUS00050,4,233.86,0.1,93.54,841.9,credit_card,in_store,USD
TXN0000066,2024-03-17 21:59:00,STR009,PRD0052,,4,76.14,0.0,0.0,304.56,gift_card,mobile_app,USD
TXN0000067,2024-08-16 12:20:00,STR015,PRD0112,CUS00286,5,268.87,0.0,0.0,1344.35,cash,online,USD
TXN0000068,2024-08-07 15:28:00,STR002,PRD0049,CUS00099,1,327.25,0.15,49.09,278.16,debit_card,online,USD
TXN0000069,2024-05-01 10:18:00,STR016,PRD0043,CUS00024,2,621.23,0.0,0.0,1242.46,debit_card,in_store,USD
TXN0000070,2024-03-29 14:45:00,STR014,PRD0114,CUS00442,4,596.37,0.0,0.0,2385.48,debit_card,in_store,USD
TXN0000071,2024-06-23 15:03:00,STR011,PRD0058,CUS00227,2,61.42,0.0,0.0,122.84,debit_card,in_store,USD
TXN0000072,2024-06-24 11:39:00,STR016,PRD0006,CUS00248,1,101.59,0.15,15.24,86.35,gift_card,in_store,USD
TXN0000073,2024-04-24 18:18:00,STR021,PRD0028,CUS00387,2,621.82,0.0,0.0,1243.64,gift_card,in_store,USD
TXN0000074,2024-12-24 16:04:00,STR010,PRD0118,CUS00070,4,317.96,0.15,190.78,1081.06,gift_card,in_store,USD
TXN0000075,2024-10-25 19:44:00,STR015,PRD0027,CUS00201,3,490.08,0.0,0.0,1470.24,cash,online,USD
TXN0000076,2024-04-02 09:51:00,STR009,PRD0020,CUS00292,1,595.59,0.0,0.0,595.59,cash,mobile_app,USD
TXN0000077,2024-10-31 13:06:00,STR018,PRD0089,,2,690.46,0.0,0.0,1380.92,credit_card,mobile_app,USD
TXN0000078,2024-05-29 09:13:00,STR021,PRD0005,CUS00364,2,259.57,0.15,77.87,441.27,credit_card,online,USD
TXN0000079,2024-11-04 17:24:00,STR002,PRD0031,CUS00225,1,77.68,0.0,0.0,77.68,credit_card,in_store,USD
TXN0000080,2024-07-28 20:44:00,STR008,PRD0106,CUS00268,4,558.66,0.1,223.46,2011.18,cash,mobile_app,USD
TXN0000081,2024-03-30 08:56:00,STR002,PRD0030,CUS00445,2,80.67,0.0,0.0,161.34,credit_card,mobile_app,USD
