ticket_id,opened_at,resolved_at,sla_due_at,status,priority,reason,channel,store_id,customer_id,csat,resolve_hours,within_sla,region
TKT000001,2024-08-17 16:55:00,2024-08-18 20:43:40,2024-08-20 16:55:00,resolved,medium,Staff conduct,social,STR007,CUS00152,4.0,27.81,True,Southeast
TKT000002,2024-06-24 16:09:00,2024-07-02 04:50:33,2024-06-27 16:09:00,resolved,medium,Staff conduct,phone,STR014,CUS00126,3.0,180.69,False,Southwest
TKT000003,2024-10-17 15:23:00,2024-10-19 16:04:43,2024-10-20 15:23:00,resolved,medium,Staff conduct,in_store,STR011,CUS00155,4.0,48.7,True,Northeast
TKT000004,2024-06-26 16:39:00,2024-06-28 17:13:45,2024-07-03 16:39:00,resolved,low,Pricing dispute,social,STR001,CUS00005,3.0,48.58,True,Northeast
TKT000005,2024-09-04 12:01:00,2024-09-12 18:28:38,2024-09-07 12:01:00,closed_unresolved,medium,Online order issue,email,STR009,CUS00191,1.0,198.46,False,Southwest
TKT000006,2024-04-18 09:04:00,2024-04-19 05:26:08,2024-04-19 09:04:00,resolved,high,Refund request,chat,STR022,CUS00075,5.0,20.37,True,Southeast
TKT000007,2024-11-16 20:29:00,,2024-11-19 20:29:00,escalated,medium,Online order issue,in_store,STR016,CUS00048,,,,Northeast
TKT000008,2024-10-19 19:32:00,2024-10-20 04:08:42,2024-10-19 23:32:00,resolved,critical,Store experience,social,STR007,CUS00145,4.0,8.61,False,Southeast
TKT000009,2024-10-21 19:29:00,2024-10-25 09:21:36,2024-10-28 19:29:00,resolved,low,Late delivery,phone,STR013,CUS00436,4.0,85.88,True,Midwest
TKT000010,2024-03-06 12:45:00,2024-03-08 00:28:28,2024-03-13 12:45:00,resolved,low,Refund request,social,STR022,CUS00441,4.0,35.72,True,Southeast
TKT000011,2024-03-02 20:02:00,2024-03-06 02:51:38,2024-03-09 20:02:00,resolved,low,Late delivery,in_store,STR009,CUS00416,4.0,78.83,True,Southwest
TKT000012,2024-04-21 13:53:00,2024-04-26 14:36:33,2024-04-24 13:53:00,resolved,medium,Staff conduct,in_store,STR013,CUS00282,1.0,120.73,False,Midwest
TKT000013,2024-09-28 14:36:00,2024-10-01 03:00:51,2024-10-05 14:36:00,resolved,low,Store experience,in_store,STR002,CUS00491,4.0,60.41,True,Southeast
TKT000014,2024-08-20 20:36:00,2024-08-21 07:51:33,2024-08-23 20:36:00,resolved,medium,Refund request,chat,STR013,CUS00291,5.0,11.26,True,Midwest
