customer_id,first_purchase,last_purchase,order_count,lifetime_revenue,lifetime_profit,avg_order_value,loyalty_tier,state
CUS00001,2024-01-24,2024-12-16,9,10641.2,4412.0,1182.36,silver,CA
CUS00002,2024-01-06,2024-11-21,13,12432.859999999999,5420.56,956.37,gold,TX
CUS00003,2024-01-21,2024-12-20,15,12460.09,4562.46,830.67,platinum,FL
CUS00004,2024-02-10,2024-12-17,11,10850.3,3701.37,986.39,platinum,IL
CUS00005,2024-03-11,2024-11-24,11,13968.91,4335.47,1269.9,platinum,WA
CUS00006,2024-02-08,2024-12-07,7,8303.85,3916.9300000000003,1186.26,platinum,GA
CUS00007,2024-04-05,2024-04-05,1,245.68,105.96,245.68,platinum,CO
CUS00008,2024-02-24,2024-12-07,11,14259.83,5825.66,1296.35,platinum,NY
CUS00009,2024-01-23,2024-12-23,9,12845.25,5196.73,1427.25,platinum,CA
CUS00010,2024-01-28,2024-11-13,11,10650.23,3793.42,968.2,bronze,TX
CUS00011,2024-01-02,2024-12-20,13,13024.76,4630.95,1001.9,silver,FL
CUS00012,2024-01-15,2024-10-25,14,13481.48,5303.24,962.96,gold,IL
CUS00013,2024-02-22,2024-11-21,9,10375.4,4345.49,1152.82,platinum,WA
CUS00014,2024-02-12,2024-07-19,6,5950.87,2693.07,991.81,platinum,GA
CUS00015,2024-01-05,2024-12-20,8,7596.3,2641.42,949.54,platinum,CO
CUS00016,2024-01-10,2024-12-12,12,15055.14,6402.94,1254.6,platinum,NY
CUS00017,2024-03-29,2024-12-03,9,13731.29,5271.59,1525.7,platinum,CA
CUS00018,2024-01-20,2024-12-18,14,12082.53,5254.02,863.04,platinum,TX
CUS00019,2024-01-06,2024-11-12,6,6787.29,3187.46,1131.21,platinum,FL
CUS00020,2024-02-19,2024-11-30,14,18226.96,6916.8,1301.93,bronze,IL
CUS00021,2024-02-13,2024-11-05,13,7867.94,3270.48,605.23,silver,WA
CUS00022,2024-01-24,2024-12-25,6,4897.88,2002.3999999999999,816.31,gold,GA
CUS00024,2024-03-09,2024-12-28,12,14192.150000000001,5482.45,1182.68,platinum,NY
CUS00025,2024-01-14,2024-08-19,6,5772.4400000000005,2196.8900000000003,962.07,platinum,CA
CUS00026,2024-03-07,2024-10-25,8,7047.849999999999,2966.8100000000004,880.98,platinum,TX
CUS00027,2024-01-13,2024-12-28,8,5685.07,2424.5099999999998,710.63,platinum,FL
CUS00028,2024-02-08,2024-07-30,5,7097.370000000001,2583.63,1419.47,platinum,IL
CUS00029,2024-02-23,2024-11-04,10,11667.19,4543.509999999999,1166.72,platinum,WA
CUS00030,2024-01-03,2024-10-28,10,15288.470000000001,6575.8,1528.85,bronze,GA
CUS00031,2024-01-07,2024-09-02,9,8649.039999999999,4023.99,961.0,silver,CO
CUS00032,2024-04-10,2024-12-15,6,9572.15,3724.2799999999997,1595.36,gold,NY
CUS00033,2024-03-14,2024-12-16,10,11817.08,4571.5199999999995,1181.71,platinum,CA
CUS00034,2024-02-06,2024-08-14,3,2476.69,875.36,825.56,platinum,TX
CUS00035,2024-02-17,2024-12-24,9,11397.4,4967.85,1266.38,platinum,FL
CUS00036,2024-01-03,2024-12-21,11,7571.36,2509.34,688.31,platinum,IL
CUS00037,2024-01-07,2024-12-29,16,15431.05,6406.38,964.44,platinum,WA
CUS00038,2024-07-10,2024-12-17,5,3312.25,1007.01,662.45,platinum,GA
CUS00039,2024-01-19,2024-12-13,9,5654.75,1583.9,628.31,platinum,CO
CUS00040,2024-03-10,2024-11-27,12,11230.220000000001,4363.45,935.85,bronze,NY
CUS00041,2024-02-19,2024-10-05,13,17244.49,7967.01,1326.5,silver,CA
CUS00042,2024-01-12,2024-11-20,9,8300.24,2856.27,922.25,gold,TX
CUS00043,2024-03-20,2024-12-25,6,1982.78,785.49,330.46,platinum,FL
CUS00044,2024-01-29,2024-11-20,12,12264.93,4838.49,1022.08,platinum,IL
CUS00045,2024-01-14,2024-09-16,9,6617.959999999999,2775.84,735.33,platinum,WA
CUS00047,2024-01-21,2024-12-27,4,4675.650000000001,1922.28,1168.91,platinum,CO
CUS00048,2024-02-07,2024-11-30,6,6108.62,2481.81,1018.1,platinum,NY
