transaction_date,category,transactions,units_sold,net_revenue,gross_profit
2024-01-01,Apparel,2,10,3152.44,971.79
2024-01-01,Electronics,2,6,848.9399999999999,166.84
2024-01-01,Grocery,1,3,2036.79,1136.94
2024-01-01,Home,4,15,3378.0,1097.0900000000001
2024-01-01,Sports,2,5,818.78,292.15999999999997
2024-01-02,Apparel,4,12,5320.1,1784.48
2024-01-02,Electronics,2,7,3480.67,1615.04
2024-01-02,Grocery,2,3,1295.19,590.95
2024-01-02,Home,1,1,54.14,10.24
2024-01-02,Sports,3,8,3250.82,938.35
2024-01-03,Apparel,3,12,5495.88,1955.84
2024-01-03,Electronics,5,20,1834.5700000000002,396.43
2024-01-03,Grocery,7,24,9513.06,3283.49
2024-01-03,Home,1,2,1088.86,559.96
2024-01-03,Sports,4,14,2958.31,1021.9200000000001
2024-01-04,Apparel,4,11,1648.74,463.96
2024-01-04,Electronics,2,5,1489.63,554.88
2024-01-04,Grocery,2,8,1979.98,859.38
2024-01-04,Home,2,7,1985.66,575.64
2024-01-04,Sports,2,5,2144.76,920.99
2024-01-05,Apparel,4,13,6745.8099999999995,3009.22
2024-01-05,Electronics,2,4,653.54,254.9
2024-01-05,Grocery,1,2,643.12,171.36
2024-01-05,Home,3,8,2091.56,779.2
2024-01-05,Sports,5,10,3568.93,1855.15
2024-01-06,Apparel,4,11,5322.83,2740.8599999999997
2024-01-06,Electronics,2,9,4250.3,2227.17
2024-01-06,Grocery,6,16,5412.43,2458.2099999999996
2024-01-06,Home,5,21,8788.48,4569.65
2024-01-06,Sports,2,7,2626.54,810.1600000000001
2024-01-07,Apparel,3,4,1117.82,522.55
2024-01-07,Electronics,2,6,1696.61,844.66
2024-01-07,Grocery,3,8,1594.0,795.3
2024-01-07,Sports,2,5,2013.4099999999999,1094.03
2024-01-08,Electronics,7,26,5205.41,2173.75
2024-01-08,Grocery,2,3,1007.76,469.49
2024-01-08,Home,3,10,1912.17,976.06
2024-01-08,Sports,1,4,1663.08,541.16
2024-01-09,Apparel,5,17,6641.46,2805.17
2024-01-09,Electronics,2,8,2543.9300000000003,581.56
2024-01-09,Grocery,4,15,3404.4,1157.05
2024-01-09,Home,1,1,23.48,4.05
2024-01-09,Sports,7,22,8079.85,3591.81
2024-01-10,Apparel,3,12,3428.25,1463.2800000000002
2024-01-10,Electronics,3,11,1619.49,283.76
2024-01-10,Grocery,6,16,3794.16,1686.88
2024-01-10,Home,3,11,4479.15,1282.46
2024-01-11,Apparel,4,15,5066.08,2276.43
2024-01-11,Grocery,1,3,953.88,238.14
2024-01-11,Sports,4,14,8714.86,3724.56
2024-01-12,Apparel,4,15,3229.8199999999997,1157.97
2024-01-12,Electronics,3,12,5302.63,2458.95
2024-01-12,Grocery,1,4,2308.32,783.32
2024-01-12,Home,1,4,330.04,171.64
2024-01-12,Sports,4,11,4991.83,1899.3400000000001
2024-01-13,Apparel,7,21,5743.31,2140.89
2024-01-13,Electronics,2,3,1918.8400000000001,766.43
2024-01-13,Grocery,6,19,6331.1,2657.66
2024-01-13,Home,3,7,4109.1,2250.8399999999997
2024-01-13,Sports,6,21,7284.48,2591.16
2024-01-14,Apparel,1,1,648.85,349.94
2024-01-14,Electronics,5,8,2824.3100000000004,905.87
2024-01-14,Grocery,2,6,2347.99,845.97
2024-01-14,Home,3,13,2566.48,541.42
2024-01-14,Sports,4,9,5045.79,2007.5100000000002
2024-01-15,Apparel,4,17,6275.89,2864.38
2024-01-15,Electronics,7,23,7646.42,3289.47
2024-01-15,Grocery,2,4,530.51,281.30999999999995
2024-01-15,Home,1,5,391.92,193.92
2024-01-15,Sports,3,10,3828.95,1716.04
2024-01-16,Apparel,2,3,749.81,310.97
2024-01-16,Electronics,2,6,1618.88,522.4200000000001
2024-01-16,Grocery,2,8,3024.54,975.55
2024-01-16,Home,3,6,2428.84,1063.02
2024-01-16,Sports,3,11,4224.83,1393.04
2024-01-17,Apparel,2,8,5540.3,2796.86
2024-01-17,Electronics,2,6,1918.0900000000001,911.37
2024-01-17,Grocery,1,3,953.88,238.14
2024-01-17,Home,4,14,4965.17,1986.18
2024-01-17,Sports,2,10,4073.55,1659.2
2024-01-18,Apparel,3,14,5201.6900000000005,1621.34
2024-01-18,Electronics,1,1,116.31,21.2
2024-01-18,Home,3,11,2930.5299999999997,905.16
