product_id,category,brand,units_sold,net_revenue,gross_profit,order_count,product_name,unit_price
PRD0046,Apparel,Pinnacle,141,98394.36,50041.229999999996,43,Pinnacle Kids 46,719.52
PRD0077,Home,Orbit,112,98123.63,53662.99,42,Orbit Kitchen 77,898.98
PRD0028,Grocery,Cascade,158,97314.82,47704.4,53,Cascade Produce 28,621.82
PRD0043,Grocery,Forge,157,94209.54000000001,37494.86,56,Forge Beverages 43,621.23
PRD0106,Apparel,Lumina,171,93128.6,38042.659999999996,55,Lumina Kids 106,558.66
PRD0114,Sports,Lumina,160,92526.81,36965.21,48,Lumina Team Sports 114,596.37
PRD0038,Grocery,Pinnacle,107,92010.34999999999,50832.47,41,Pinnacle Snacks 38,879.64
PRD0079,Sports,Harbor,146,91713.19,39505.05,48,Harbor Footwear 79,643.15
PRD0040,Electronics,Nova,113,91059.18000000001,47245.689999999995,37,Nova Laptops 40,823.32
PRD0020,Electronics,Cascade,152,88325.97,41742.53,51,Cascade Laptops 20,595.59
PRD0100,Electronics,Cascade,154,85911.89,27031.53,52,Cascade Laptops 100,576.59
PRD0064,Sports,Nova,183,84041.9,18405.29,58,Nova Fitness 64,475.35
PRD0054,Sports,Pinnacle,120,81860.97,37436.97,43,Pinnacle Team Sports 54,694.62
PRD0004,Sports,Cascade,139,81254.73,27452.0,43,Cascade Fitness 4,602.78
PRD0116,Apparel,Cascade,125,79548.99,42185.24,41,Cascade Men 116,648.85
PRD0105,Electronics,Apex,147,78765.29,43599.95,48,Apex Phones 105,554.1
PRD0041,Apparel,Apex,157,75837.11,30727.870000000003,46,Apex Women 41,491.81
PRD0111,Apparel,Harbor,113,72944.68000000001,33693.0,40,Harbor Accessories 111,661.33
PRD0072,Home,Nova,143,69651.53,23365.29,48,Nova Furniture 72,500.55
PRD0078,Grocery,Pinnacle,103,69182.95999999999,38288.11,39,Pinnacle Snacks 78,678.93
PRD0073,Grocery,Apex,121,68816.79000000001,22685.54,38,Apex Dairy 73,577.08
PRD0016,Apparel,Nova,130,68673.69,28018.79,46,Nova Men 16,539.04
PRD0047,Home,Harbor,145,68423.91,26613.16,52,Harbor Bedding 47,487.35
PRD0087,Home,Harbor,144,68323.69,17912.170000000002,54,Harbor Bedding 87,488.55
PRD0036,Apparel,Cascade,171,68304.92,25067.57,58,Cascade Men 36,405.13
PRD0075,Electronics,Forge,138,68273.71,16585.81,48,Forge Tablets 75,507.8
PRD0009,Sports,Apex,102,68134.75,34126.93,35,Apex Outdoor 9,675.27
PRD0015,Electronics,Harbor,125,66509.72,33183.47,40,Harbor Tablets 15,541.61
PRD0039,Sports,Harbor,159,65213.52,20617.2,52,Harbor Footwear 39,415.77
PRD0048,Grocery,Nova,140,64682.33,29448.53,42,Nova Produce 48,473.17
PRD0095,Electronics,Harbor,99,64582.170000000006,32700.210000000003,30,Harbor Tablets 95,658.33
PRD0067,Home,Forge,117,62691.11,31750.460000000003,38,Forge Bedding 67,544.43
PRD0109,Sports,Orbit,139,62509.81,18150.739999999998,48,Orbit Outdoor 109,459.8
