transaction_date,store_id,store_name,region,store_type,transactions,units_sold,gross_revenue,net_revenue,discount_total,cogs,gross_profit,avg_order_value,gross_margin_pct
2024-01-01,STR001,New York Downtown #1,Northeast,flagship,1,4,505.96,430.07,75.89,330.16,99.91,430.07,23.23
2024-01-01,STR005,Chicago Mall #5,West,flagship,2,6,1045.62,1045.62,0.0,650.02,395.6,522.81,37.83
2024-01-01,STR008,Houston Mall #8,Midwest,online,1,3,355.08,355.08,0.0,153.75,201.33,355.08,56.7
2024-01-01,STR009,Phoenix Mall #9,Southwest,flagship,2,10,3657.9,3152.44,505.46,2180.65,971.79,1576.22,30.83
2024-01-01,STR016,Nashville Downtown #16,Northeast,online,1,4,1474.0,1474.0,0.0,1257.36,216.64,1474.0,14.7
2024-01-01,STR018,Minneapolis Mall #18,Midwest,outlet,1,4,276.76,276.76,0.0,237.08,39.68,276.76,14.34
2024-01-01,STR019,Philadelphia Downtown #19,Southwest,express,1,1,388.71,388.71,0.0,196.46,192.25,388.71,49.46
2024-01-01,STR020,San Diego Mall #20,West,online,1,4,1075.48,1075.48,0.0,664.8,410.68,1075.48,38.19
2024-01-01,STR023,Kansas City Mall #23,Midwest,express,1,3,2036.79,2036.79,0.0,899.85,1136.94,2036.79,55.82
2024-01-02,STR001,New York Downtown #1,Northeast,flagship,1,5,2078.85,1974.91,103.94,1402.4,572.51,1974.91,28.99
2024-01-02,STR002,Boston Mall #2,Southeast,outlet,1,2,654.5,654.5,0.0,521.28,133.22,654.5,20.35
2024-01-02,STR008,Houston Mall #8,Midwest,online,1,1,389.05,389.05,0.0,296.12,92.93,389.05,23.89
2024-01-02,STR010,Denver Downtown #10,West,outlet,1,5,2459.05,2459.05,0.0,1436.6,1022.45,2459.05,41.58
2024-01-02,STR011,Los Angeles Mall #11,Northeast,express,1,3,1220.34,1098.31,122.03,639.75,458.56,1098.31,41.75
2024-01-02,STR013,Portland Downtown #13,Midwest,flagship,1,4,2382.36,2382.36,0.0,1225.88,1156.48,2382.36,48.54
2024-01-02,STR014,San Francisco Mall #14,Southwest,outlet,1,5,1945.25,1945.25,0.0,1480.6,464.65,1945.25,23.89
