ticket_id,opened_at,resolved_at,sla_due_at,opened_date,status,priority,reason,channel,store_id,store_name,region,customer_id,csat,resolve_hours,age_hours,is_open,sla_breach,sla_status
TKT000001,2024-08-17 16:55:00,2024-08-18 20:43:40,2024-08-20 16:55:00,2024-08-17,resolved,medium,Staff conduct,social,STR007,Dallas Downtown #7,Southeast,CUS00152,4.0,27.81,27.81,0,False,within_sla
TKT000002,2024-06-24 16:09:00,2024-07-02 04:50:33,2024-06-27 16:09:00,2024-06-24,resolved,medium,Staff conduct,phone,STR014,San Francisco Mall #14,Southwest,CUS00126,3.0,180.69,180.69,0,True,beyond_sla
TKT000003,2024-10-17 15:23:00,2024-10-19 16:04:43,2024-10-20 15:23:00,2024-10-17,resolved,medium,Staff conduct,in_store,STR011,Los Angeles Mall #11,Northeast,CUS00155,4.0,48.7,48.7,0,False,within_sla
TKT000004,2024-06-26 16:39:00,2024-06-28 17:13:45,2024-07-03 16:39:00,2024-06-26,resolved,low,Pricing dispute,social,STR001,New York Downtown #1,Northeast,CUS00005,3.0,48.58,48.58,0,False,within_sla
TKT000005,2024-09-04 12:01:00,2024-09-12 18:28:38,2024-09-07 12:01:00,2024-09-04,closed_unresolved,medium,Online order issue,email,STR009,Phoenix Mall #9,Southwest,CUS00191,1.0,198.46,198.46,0,True,beyond_sla
TKT000006,2024-04-18 09:04:00,2024-04-19 05:26:08,2024-04-19 09:04:00,2024-04-18,resolved,high,Refund request,chat,STR022,Orlando Downtown #22,Southeast,CUS00075,5.0,20.37,20.37,0,False,within_sla
TKT000007,2024-11-16 20:29:00,,2024-11-19 20:29:00,2024-11-16,escalated,medium,Online order issue,in_store,STR016,Nashville Downtown #16,Northeast,CUS00048,,,1079.77,1,True,pending_beyond_sla
TKT000008,2024-10-19 19:32:00,2024-10-20 04:08:42,2024-10-19 23:32:00,2024-10-19,resolved,critical,Store experience,social,STR007,Dallas Downtown #7,Southeast,CUS00145,4.0,8.61,8.61,0,True,beyond_sla
TKT000009,2024-10-21 19:29:00,2024-10-25 09:21:36,2024-10-28 19:29:00,2024-10-21,resolved,low,Late delivery,phone,STR013,Portland Downtown #13,Midwest,CUS00436,4.0,85.88,85.88,0,False,within_sla
TKT000010,2024-03-06 12:45:00,2024-03-08 00:28:28,2024-03-13 12:45:00,2024-03-06,resolved,low,Refund request,social,STR022,Orlando Downtown #22,Southeast,CUS00441,4.0,35.72,35.72,0,False,within_sla
TKT000011,2024-03-02 20:02:00,2024-03-06 02:51:38,2024-03-09 20:02:00,2024-03-02,resolved,low,Late delivery,in_store,STR009,Phoenix Mall #9,Southwest,CUS00416,4.0,78.83,78.83,0,False,within_sla
TKT000012,2024-04-21 13:53:00,2024-04-26 14:36:33,2024-04-24 13:53:00,2024-04-21,resolved,medium,Staff conduct,in_store,STR013,Portland Downtown #13,Midwest,CUS00282,1.0,120.73,120.73,0,True,beyond_sla
TKT000013,2024-09-28 14:36:00,2024-10-01 03:00:51,2024-10-05 14:36:00,2024-09-28,resolved,low,Store experience,in_store,STR002,Boston Mall #2,Southeast,CUS00491,4.0,60.41,60.41,0,False,within_sla
TKT000014,2024-08-20 20:36:00,2024-08-21 07:51:33,2024-08-23 20:36:00,2024-08-20,resolved,medium,Refund request,chat,STR013,Portland Downtown #13,Midwest,CUS00291,5.0,11.26,11.26,0,False,within_sla
TKT000015,2024-06-05 19:09:00,2024-06-08 12:19:40,2024-06-12 19:09:00,2024-06-05,resolved,low,Product defect,chat,STR009,Phoenix Mall #9,Southwest,CUS00300,4.0,65.18,65.18,0,False,within_sla
