transaction_date,channel,payment_method,transactions,net_revenue
2024-01-01,in_store,cash,1,572.18
2024-01-01,in_store,credit_card,1,1075.48
2024-01-01,in_store,debit_card,1,355.08
2024-01-01,in_store,mobile_pay,1,778.14
2024-01-01,mobile_app,credit_card,2,1750.76
2024-01-01,mobile_app,debit_card,1,2036.79
2024-01-01,online,cash,1,430.07
2024-01-01,online,debit_card,2,862.15
2024-01-01,online,mobile_pay,1,2374.3
2024-01-02,in_store,cash,1,389.05
2024-01-02,in_store,credit_card,2,1772.27
2024-01-02,in_store,gift_card,1,526.75
2024-01-02,in_store,mobile_pay,1,621.41
2024-01-02,mobile_app,debit_card,2,3113.55
2024-01-02,mobile_app,gift_card,1,621.23
2024-01-02,online,credit_card,2,3920.16
2024-01-02,online,debit_card,1,2382.36
2024-01-02,online,mobile_pay,1,54.14
2024-01-03,in_store,cash,1,546.65
2024-01-03,in_store,debit_card,2,1013.1400000000001
2024-01-03,in_store,gift_card,4,4283.69
2024-01-03,in_store,mobile_pay,2,1726.96
2024-01-03,mobile_app,cash,4,7128.1900000000005
2024-01-03,mobile_app,credit_card,2,473.53999999999996
2024-01-03,online,credit_card,2,1406.47
2024-01-03,online,gift_card,1,1770.51
2024-01-03,online,mobile_pay,2,2541.5299999999997
2024-01-04,in_store,cash,1,431.63
2024-01-04,in_store,credit_card,2,1993.44
2024-01-04,in_store,debit_card,1,778.14
2024-01-04,in_store,gift_card,1,1731.27
2024-01-04,mobile_app,credit_card,1,122.8
2024-01-04,mobile_app,debit_card,1,1050.22
2024-01-04,mobile_app,mobile_pay,2,685.79
2024-01-04,online,cash,1,310.72
2024-01-04,online,debit_card,1,1194.06
2024-01-04,online,mobile_pay,1,950.7
2024-01-05,in_store,cash,4,2500.1
2024-01-05,in_store,credit_card,2,1953.22
2024-01-05,in_store,debit_card,2,2864.37
2024-01-05,in_store,gift_card,1,529.0
2024-01-05,mobile_app,credit_card,1,643.12
2024-01-05,mobile_app,debit_card,1,756.24
2024-01-05,mobile_app,gift_card,1,690.46
2024-01-05,mobile_app,mobile_pay,1,1462.05
2024-01-05,online,cash,1,1967.24
2024-01-05,online,gift_card,1,337.16
2024-01-06,in_store,cash,2,3980.45
2024-01-06,in_store,credit_card,2,1601.3700000000001
2024-01-06,in_store,debit_card,1,117.41
2024-01-06,in_store,gift_card,5,6877.32
2024-01-06,mobile_app,cash,1,404.74
2024-01-06,mobile_app,gift_card,2,4773.12
2024-01-06,mobile_app,mobile_pay,1,2487.28
2024-01-06,online,cash,1,489.12
2024-01-06,online,credit_card,1,355.08
2024-01-06,online,gift_card,2,2592.54
2024-01-06,online,mobile_pay,1,2722.15
2024-01-07,in_store,credit_card,2,984.6
2024-01-07,in_store,gift_card,1,1350.85
2024-01-07,mobile_app,cash,1,283.2
2024-01-07,mobile_app,debit_card,1,704.24
2024-01-07,mobile_app,gift_card,3,1117.82
2024-01-07,mobile_app,mobile_pay,1,606.56
2024-01-07,online,gift_card,1,1374.57
2024-01-08,in_store,credit_card,1,264.5
2024-01-08,in_store,debit_card,1,1144.36
2024-01-08,in_store,mobile_pay,1,1106.72
2024-01-08,mobile_app,cash,1,946.34
2024-01-08,mobile_app,credit_card,1,330.04
2024-01-08,mobile_app,debit_card,2,2107.74
2024-01-08,mobile_app,gift_card,1,1058.0
2024-01-08,online,credit_card,1,61.42
2024-01-08,online,debit_card,3,2356.4700000000003
2024-01-08,online,gift_card,1,412.83
2024-01-09,in_store,cash,3,1251.46
2024-01-09,in_store,credit_card,2,1287.48
2024-01-09,in_store,gift_card,3,1310.8999999999999
2024-01-09,mobile_app,credit_card,1,2450.51
2024-01-09,online,cash,1,92.56
2024-01-09,online,credit_card,2,4565.84
2024-01-09,online,debit_card,1,23.14
2024-01-09,online,gift_card,1,2370.37
2024-01-09,online,mobile_pay,5,7340.860000000001
2024-01-10,in_store,cash,1,1415.4
2024-01-10,in_store,credit_card,2,919.34
2024-01-10,in_store,mobile_pay,2,1136.98
2024-01-10,mobile_app,cash,1,494.2
2024-01-10,mobile_app,debit_card,1,134.64
2024-01-10,mobile_app,mobile_pay,1,2459.05
2024-01-10,online,cash,2,1386.87
2024-01-10,online,debit_card,1,2002.2
2024-01-10,online,gift_card,2,1896.11
2024-01-10,online,mobile_pay,2,1476.2600000000002
2024-01-11,in_store,cash,1,2761.84
2024-01-11,in_store,debit_card,1,1901.4
2024-01-11,mobile_app,cash,1,3597.6
2024-01-11,mobile_app,credit_card,2,1112.35
2024-01-11,mobile_app,mobile_pay,2,3884.2999999999997
2024-01-11,online,cash,1,523.45
2024-01-11,online,gift_card,1,953.88
2024-01-12,in_store,cash,1,2145.35
2024-01-12,in_store,gift_card,2,2596.25
2024-01-12,in_store,mobile_pay,1,4116.6
2024-01-12,mobile_app,cash,2,1438.14
2024-01-12,mobile_app,debit_card,1,582.04
2024-01-12,online,cash,2,540.87
2024-01-12,online,credit_card,2,1821.07
2024-01-12,online,debit_card,1,614.0
2024-01-12,online,mobile_pay,1,2308.32
2024-01-13,in_store,credit_card,1,1616.19
2024-01-13,in_store,debit_card,2,1296.24
2024-01-13,in_store,gift_card,3,3803.39
2024-01-13,in_store,mobile_pay,2,991.2800000000001
2024-01-13,mobile_app,cash,1,1808.34
2024-01-13,mobile_app,credit_card,4,3373.8599999999997
2024-01-13,mobile_app,mobile_pay,1,310.72
2024-01-13,online,cash,2,4584.32
2024-01-13,online,credit_card,3,898.7600000000001
2024-01-13,online,debit_card,1,321.8
2024-01-13,online,gift_card,2,3274.15
2024-01-13,online,mobile_pay,2,3107.78
2024-01-14,in_store,cash,1,1139.74
2024-01-14,in_store,credit_card,2,4154.73
2024-01-14,in_store,debit_card,2,898.63
2024-01-14,in_store,gift_card,1,211.15
2024-01-14,in_store,mobile_pay,1,648.85
2024-01-14,mobile_app,cash,1,380.7
2024-01-14,mobile_app,credit_card,1,595.59
2024-01-14,mobile_app,debit_card,1,416.53
2024-01-14,mobile_app,mobile_pay,1,301.67
2024-01-14,online,debit_card,3,3477.58
2024-01-14,online,gift_card,1,1208.25
2024-01-15,in_store,cash,2,4502.91
2024-01-15,in_store,credit_card,1,276.76
2024-01-15,in_store,debit_card,2,321.26
2024-01-15,in_store,gift_card,1,527.04
2024-01-15,in_store,mobile_pay,1,2459.05
2024-01-15,mobile_app,credit_card,1,3291.65
2024-01-15,mobile_app,debit_card,2,808.95
2024-01-15,online,cash,2,3338.66
2024-01-15,online,gift_card,3,1681.98
2024-01-15,online,mobile_pay,2,1465.43
2024-01-16,in_store,debit_card,2,1096.97
2024-01-16,in_store,gift_card,1,1632.65
2024-01-16,mobile_app,credit_card,2,1216.39
2024-01-16,mobile_app,mobile_pay,1,462.77
2024-01-16,online,credit_card,1,544.43
2024-01-16,online,debit_card,3,2930.92
2024-01-16,online,gift_card,1,2741.13
2024-01-16,online,mobile_pay,1,1421.64
2024-01-17,in_store,credit_card,1,1322.5
